route_name,route_start_km,route_end_km,start_km,end_km,method,direction,lane,work_date,year,timestamp,row_type,route_dir1,route_dir2
중부내륙선(상주),123.49,194.72,181.206,181.286,절삭 덧씌우기,양평방향,2차로,20240000,2024,2025-11-11 9:31,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,187.27,187.77,절삭 덧씌우기,양평방향,1차로,20240000,2024,2025-11-11 9:32,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,187.27,187.77,절삭 덧씌우기,양평방향,2차로,20240000,2024,2025-11-11 9:32,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,188.294,188.604,절삭 덧씌우기,양평방향,2차로,20240000,2024,2025-11-11 9:32,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,162.005,162.73,절삭 덧씌우기,창원방향,2차로,20240000,2024,2025-11-11 9:32,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,177.31,178.8,기능성 중간층,창원방향,2차로,20240000,2024,2025-11-11 9:32,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,179.38,180.5,절삭 덧씌우기,창원방향,2차로,20240000,2024,2025-11-11 9:32,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,187.314,187.614,절삭 덧씌우기,창원방향,1차로,20240000,2024,2025-11-11 9:33,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,159.55,159.9,절삭 덧씌우기,창원방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,177.28,178.8,GMA,창원방향,1차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,180.013,180.528,절삭 덧씌우기,창원방향,1차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,192.46,193.46,절삭 덧씌우기,창원방향,2차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,146.26,146.65,절삭 덧씌우기,양평방향,1차로,20250000,2025,2025-11-11 9:37,entry,양평방향,창원방향
